Customer Name,Customer Id,Billing Address Country,CITY,Zip,Gateway,Net Sale,Total Tax,Total Price Usd,Sum of Order Number,Product Type
Edgar Plenderleith,1,United States,SCRANTON,99600,gift_card,$537,53.713,590.843,1904,Running Shoes
Chadwick Kilford,1,United States,NORTH LITTLE ROCK,99597,paypal,$518,51.753,569.283,5619,Walking Shoes
Jordana Goldspink,1,United States,RENO,99581,paypal,$497,49.713,546.843,6874,Walking Shoes
William Northin,1,United States,MOBILE,99564,shopify_payments,$635,63.513,698.643,3215,Cycling Shoes
Claudio Tebbutt,1,United States,SAN ANTONIO,99561,shopify_payments,$588,58.793,646.723,2708,Running Shoes
Fey Gergely,1,United States,IRVINE,99558,amazon_payments,$567,56.713,623.843,2015,Jackets
Menard Boribal,1,United States,IRVINE,99548,paypal,$510,50.953,560.483,5494,Tennis Shoes
Deonne Tolle,1,United States,ENGLEWOOD,99519,shopify_payments,$517,51.713,568.843,145,Climbing Shoes
Cahra Hardstaff,1,United States,CHARLOTTE,99507,gift_card,$537,53.713,590.843,3458,Running Shoes
Agnes Gove,1,United States,PENSACOLA,99495,paypal,$532,53.193,585.123,5525,Running Shoes
Pet Eisenberg,1,United States,CHARLOTTE,99481,shopify_payments,$625,62.513,687.643,1463,Flip-Flops
Junia Sinclair,1,United States,MEMPHIS,99478,gift_card,$494,49.353,542.883,6493,Flip-Flops
Dennison Chadderton,1,United States,OGDEN,99464,shopify_payments,$723,72.313,795.443,4166,Climbing Shoes
Chrystel Baggett,1,United States,DAYTON,99454,shopify_payments,$489,48.913,538.043,449,Gift Card
Tanitansy Scad,1,United States,ANDERSON,99445,shopify_payments,$537,53.713,590.843,359,Tennis Shoes
Bancroft Ishak,1,United States,DAYTONA BEACH,99427,shopify_payments,$821,82.113,903.243,1066,Walking Shoes
Seward Truin,1,United States,LOS ANGELES,99412,shopify_payments,$518,51.753,569.283,810,Climbing Shoes
Gratiana Dymick,1,United States,TOPEKA,99407,shopify_payments,$595,59.513,654.643,4565,Tennis Shoes
Amalita Easom,1,United States,ORLANDO,99352,paypal,$595,59.513,654.643,6579,Running Shoes
Curry Crinson,1,United States,SHAWNEE MISSION,99343,shopify_payments,$518,51.753,569.283,1335,Walking Shoes
Cherise Ruffle,1,United States,SAGINAW,99316,shopify_payments,$537,53.713,590.843,2672,Running Shoes
Christian Cassels,1,United States,BROOKLYN,99312,shopify_payments,$498,49.833,548.163,1735,Running Shoes
Ricard Collough,1,United States,TOPEKA,99296,shopify_payments,$539,53.913,593.043,5496,Gift Card
Sindee Sitch,1,United States,SANTA MONICA,99280,shopify_payments,$580,57.993,637.923,5680,Walking Shoes
Jessee Barme,1,United States,NEW ORLEANS,99274,shopify_payments,$439,43.913,483.043,3866,Tennis Shoes
Dinny Bayford,1,United States,ATLANTA,99273,shopify_payments,$575,57.513,632.643,5170,Running Shoes
Alberto Boulde,1,United States,TACOMA,99267,gift_card,$527,52.713,579.843,1502,Flip-Flops
Zarla Sarll,1,United States,ROANOKE,99264,shopify_payments,$532,53.193,585.123,5055,Climbing Shoes
Chrissie Pretsell,1,United States,TUCSON,99242,paypal,$537,53.713,590.843,1437,Tennis Shoes
Rycca Mundle,1,United States,BIRMINGHAM,99237,shopify_payments,$517,51.713,568.843,3579,Tennis Shoes
Nichole Adam,1,United States,FLINT,99225,manual,$547,54.713,601.843,6548,Flip-Flops
Bobby Raithby,1,United States,DENVER,99214,gift_card,$510,50.953,560.483,6115,Running Shoes
Albrecht Happs,1,United States,CINCINNATI,99211,manual,$625,62.513,687.643,90,Tennis Shoes
Cherri Handslip,1,United States,PEORIA,99196,shopify_payments,$697,69.673,766.403,1169,Walking Shoes
Keelia Pool,1,United States,SACRAMENTO,99188,paypal,$580,57.993,637.923,4290,Running Shoes
Abel Lewnden,1,United States,OLYMPIA,99181,shopify_payments,$518,51.753,569.283,7394,Running Shoes
Dorrie Frusher,1,United States,HOUSTON,99135,shopify_payments,$605,60.513,665.643,6136,Running Shoes
Desdemona Haggath,1,United States,CINCINNATI,99126,gift_card,$537,53.713,590.843,5584,Cycling Shoes
Ellynn Trewartha,1,United States,SANTA MONICA,99113,shopify_payments,$547,54.713,601.843,6110,Flip-Flops
Neils Baumber,1,United States,JAMAICA,99090,shopify_payments,$703,70.313,773.443,3498,Boots
Laure Mably,1,United States,CLEARWATER,99079,shopify_payments,$564,56.393,620.323,5197,Running Shoes
Russell Brislawn,1,United States,SAN FRANCISCO,99061,paypal,$497,49.713,546.843,6638,Tennis Shoes
Kippar MacAdam,1,United States,ROCHESTER,99029,gift_card,$527,52.713,579.843,1798,Running Shoes
Debee Calan,1,United States,AMARILLO,98999,gift_card,$513,51.263,563.893,5502,Running Shoes
Timmy Mattaus,1,United States,OKLAHOMA CITY,98995,gift_card,$504,50.413,554.543,74,Tennis Shoes
Kylen Llewellin,1,United States,CHARLOTTESVILLE,98950,gift_card,$537,53.713,590.843,77,Tennis Shoes
Renaldo Leed,1,United States,METAIRIE,98950,paypal,$595,59.513,654.643,7193,Running Shoes
Liv Gunstone,1,United States,WASHINGTON,98920,gift_card,$518,51.753,569.283,3179,Cycling Shoes
Row Rosendorf,1,United States,CHARLOTTE,98900,shopify_payments,$514,51.413,565.543,5383,Gift Card
Hayyim Tenniswood,1,United States,CAPE CORAL,98896,gift_card,$518,51.753,569.283,5180,Running Shoes
Emmey Waterhouse,1,United States,KANSAS CITY,98892,shopify_payments,$537,53.713,590.843,6346,Boots
Parsifal Tampin,1,United States,DES MOINES,98881,shopify_payments,$518,51.753,569.283,5604,Cycling Shoes
Ethelbert Cheake,1,United States,OAKLAND,98867,amazon_payments,$537,53.713,590.843,2277,Running Shoes
Cosetta Redan,1,United States,RICHMOND,98853,gift_card,$518,51.753,569.283,1861,Running Shoes
Kerrill Karpenko,1,United States,HOUSTON,98826,shopify_payments,$595,59.513,654.643,4119,Running Shoes
Rufus Shoemark,1,United States,EVERETT,98820,shopify_payments,$518,51.753,569.283,1288,Running Shoes
Orbadiah Hedan,1,United States,PHILADELPHIA,98804,paypal,$510,50.953,560.483,1383,Running Shoes
Dagmar Timbrell,1,United States,CHICAGO,98803,shopify_payments,$527,52.713,579.843,1019,Cycling Shoes
Micky Penticost,1,United States,FORT SMITH,98792,gift_card,$518,51.753,569.283,3357,Running Shoes
Josefa O'Neill,1,United States,SOUTHFIELD,98782,shopify_payments,$532,53.193,585.123,6375,Walking Shoes
Siouxie Stirtle,1,United States,NEW YORK CITY,98755,paypal,$745,74.473,819.203,7419,Running Shoes
Melantha Corbyn,1,United States,LINCOLN,98749,shopify_payments,$703,70.313,773.443,4791,Tennis Shoes
Arty Di Carli,1,United States,EVANSTON,98743,paypal,$564,56.393,620.323,4084,Walking Shoes
Odey Coltan,1,United States,EL PASO,98742,shopify_payments,$537,53.713,590.843,6695,Tennis Shoes
Loraine Beldan,1,United States,BALTIMORE,98735,shopify_payments,$439,43.913,483.043,6080,Cycling Shoes
Daphene Whiskerd,1,United States,GAINESVILLE,98726,amazon_payments,$658,65.833,724.163,2638,Climbing Shoes
Graig Mercer,1,United States,MADISON,98724,shopify_payments,$580,57.993,637.923,4784,Cycling Shoes
Ambrosio Dighton,1,United States,OAKLAND,98723,shopify_payments,$572,57.193,629.123,6048,Running Shoes
Rhoda Ferronet,1,United States,FORT WORTH,98717,paypal,$540,53.993,593.923,2020,Sandals
Jazmin Ranstead,1,United States,PATERSON,98711,shopify_payments,$572,57.193,629.123,6552,Running Shoes
Nathalie O'Fielly,1,United States,MESA,98708,gift_card,$625,62.513,687.643,5679,Cycling Shoes
Hastie Toffanini,1,United States,WASHINGTON,98705,paypal,$673,67.273,740.003,4225,Tennis Shoes
Christina Larne,1,United States,HUNTSVILLE,98696,shopify_payments,$518,51.753,569.283,6572,Running Shoes
Aleece Idiens,1,United States,ANNAPOLIS,98667,shopify_payments,$494,49.353,542.883,3593,Cycling Shoes
Valenka Theodore,1,United States,GARY,98656,shopify_payments,$985,98.513,1083.643,5288,Walking Shoes
Ami Trorey,1,United States,OAKLAND,98603,shopify_payments,$564,56.393,620.323,6848,Running Shoes
Dwain Cavilla,1,United States,DENVER,98597,gift_card,$564,56.363,619.993,5586,Cycling Shoes
Rianon Scalera,1,United States,ASHBURN,98589,shopify_payments,$527,52.713,579.843,5897,Tennis Shoes
Godwin Prendeville,1,United States,KANSAS CITY,98549,shopify_payments,$518,51.753,569.283,719,Walking Shoes
Crin Rishbrook,1,United States,HOUSTON,98546,shopify_payments,$576,57.613,633.743,6505,Cycling Shoes
Lothaire Ilson,1,United States,MIAMI,98532,shopify_payments,$527,52.713,579.843,5398,Running Shoes
Damaris Goley,1,United States,WINSTON SALEM,98493,shopify_payments,$518,51.753,569.283,4344,Running Shoes
Marylinda Rraundl,1,United States,TORRANCE,98491,paypal,$486,48.633,534.963,3772,Cycling Shoes
Sigmund Rochell,1,United States,WASHINGTON,98490,shopify_payments,$518,51.753,569.283,1786,Running Shoes
Edgardo Kingdon,1,United States,CHARLESTON,98482,paypal,$527,52.713,579.843,5261,Tennis Shoes
Esdras Kenefick,1,United States,BERKELEY,98481,paypal,$635,63.513,698.643,3598,Boots
Warden Dowthwaite,1,United States,ORLANDO,98473,shopify_payments,$537,53.713,590.843,659,Tennis Shoes
Merilyn Kellog,1,United States,LINCOLN,98472,amazon_payments,$537,53.713,590.843,6589,Climbing Shoes
Brendin Sijmons,1,United States,GARDEN GROVE,98461,shopify_payments,$537,53.713,590.843,731,Running Shoes
Stanford Uc,1,United States,TOLEDO,98461,shopify_payments,$666,66.633,732.963,6652,Running Shoes
Janean Rope,1,United States,PASADENA,98438,shopify_payments,$604,60.393,664.323,4835,Running Shoes
Clemmy L'Amie,1,United States,GILBERT,98432,shopify_payments,$532,53.193,585.123,4798,Sandals
Pamella Liffey,1,United States,MAPLE PLAIN,98427,amazon_payments,$537,53.713,590.843,2833,Boots
Sianna Fourcade,1,United States,TOLEDO,98382,shopify_payments,$537,53.713,590.843,2685,Running Shoes
Kelsey Cockshutt,1,United States,RESTON,98381,shopify_payments,$510,50.953,560.483,5520,Running Shoes
Kerk Pellamonuten,1,United States,MADISON,98353,shopify_payments,$537,53.713,590.843,1323,Climbing Shoes
Brandise Blakeley,1,United States,SAINT AUGUSTINE,98344,shopify_payments,$537,53.713,590.843,3599,Walking Shoes
Indira Ivankin,1,United States,VANCOUVER,98322,shopify_payments,$537,53.713,590.843,2088,Running Shoes
Niccolo Fiddymont,1,United States,GREELEY,98297,paypal,$510,50.953,560.483,2252,Flip-Flops
Farra Sutterby,1,United States,LOS ANGELES,98275,shopify_payments,$539,53.913,593.043,4593,Gift Card
Dona Ivanishin,1,United States,LEXINGTON,98263,shopify_payments,$507,50.713,557.843,1536,Walking Shoes
Cristiano Borit,1,United States,CHARLOTTESVILLE,98247,shopify_payments,$635,63.513,698.643,5020,Running Shoes
Brigitte Gratland,1,United States,BALTIMORE,98235,shopify_payments,$610,61.033,671.363,204,Walking Shoes
Ellwood Valero,1,United States,NAPERVILLE,98233,paypal,$635,63.513,698.643,2251,Tennis Shoes
Fowler Murden,1,United States,SYRACUSE,98218,shopify_payments,$527,52.713,579.843,4147,Walking Shoes
Gerry Tomet,1,United States,NEW YORK CITY,98204,shopify_payments,$537,53.713,590.843,5515,Climbing Shoes
Stu Drissell,1,United States,DALLAS,98196,shopify_payments,$527,52.713,579.843,1727,Tennis Shoes
Guthry Kemme,1,United States,VIRGINIA BEACH,98189,manual,$537,53.713,590.843,4360,Tennis Shoes
Dannie Delea,1,United States,SPOKANE,98186,paypal,$517,51.713,568.843,20,Running Shoes
Jody Guile,1,United States,HOUSTON,98185,shopify_payments,$532,53.193,585.123,5373,Walking Shoes
Margaretta Coils,1,United States,SACRAMENTO,98184,shopify_payments,$537,53.713,590.843,127,Cycling Shoes
Riordan Krzysztof,1,United States,HOUSTON,98177,gift_card,$537,53.713,590.843,3575,Cycling Shoes
Raynor Hubbins,1,United States,SEATTLE,98151,paypal,$507,50.713,557.843,4095,Flip-Flops
Gardie Marginson,1,United States,TACOMA,98133,shopify_payments,$628,62.793,690.723,4018,Climbing Shoes
Rosy Weinberg,1,United States,FORT WAYNE,98091,shopify_payments,$537,53.713,590.843,3957,Tennis Shoes
Netta Pumphreys,1,United States,LAS VEGAS,98050,amazon_payments,$507,50.713,557.843,3986,Walking Shoes
Roseanna Byram,1,United States,MONTGOMERY,98036,shopify_payments,$527,52.713,579.843,5297,Running Shoes
Rafaello Ferrulli,1,United States,LAS VEGAS,98026,paypal,$537,53.713,590.843,3864,Climbing Shoes
Barris Jarman,1,United States,CLEARWATER,98024,paypal,$486,48.553,534.083,1351,Cycling Shoes
Alaric Godehard.sf,1,United States,PROVIDENCE,97998,manual,$527,52.713,579.843,6920,Tennis Shoes
Randy Beckett,1,United States,HOUSTON,97995,shopify_payments,$507,50.713,557.843,2935,Flip-Flops
Shaylyn Knoton,1,United States,CHATTANOOGA,97985,gift_card,$537,53.713,590.843,5737,Cycling Shoes
Marice O'Brian,1,United States,VISALIA,97935,paypal,$537,53.713,590.843,2329,Tennis Shoes
Norina Blune,1,United States,MILWAUKEE,97928,shopify_payments,$486,48.553,534.083,6766,Cycling Shoes
Carmelina Baack,1,United States,JEFFERSON CITY,97920,shopify_payments,$517,51.713,568.843,2817,Running Shoes
Orelia Sember,1,United States,SAINT PAUL,97919,shopify_payments,$605,60.513,665.643,1311,Tennis Shoes
Hanny Geraudy,1,United States,NEW YORK CITY,97913,gift_card,$507,50.713,557.843,139,Tennis Shoes
Shermy Lepoidevin,1,United States,CHARLESTON,97912,gift_card,$532,53.193,585.123,2264,Walking Shoes
Maisie Vedntyev,1,United States,MIDLAND,97888,shopify_payments,$518,51.753,569.283,1874,Tennis Shoes
Charlot Gunner,1,United States,BATON ROUGE,97877,shopify_payments,$497,49.713,546.843,4339,Cycling Shoes
Toiboid Moine,1,United States,NORWALK,97861,shopify_payments,$737,73.673,810.403,6076,Tennis Shoes
Valry Ackermann,1,United States,PORTLAND,97807,shopify_payments,$510,50.953,560.483,6575,Running Shoes
Tine MacKnockiter,1,United States,OKLAHOMA CITY,97781,paypal,$733,73.313,806.443,5608,Running Shoes
Alethea Steagall,1,United States,SAGINAW,97770,paypal,$497,49.713,546.843,3841,Walking Shoes
Alair Stefanovic,1,United States,ATLANTA,97755,amazon_payments,$613,61.313,674.443,4636,Walking Shoes
Jamill McKinstry,1,United States,AKRON,97749,shopify_payments,$514,51.413,565.543,6509,Gift Card
Rolland Shills,1,United States,ARLINGTON,97747,shopify_payments,$703,70.313,773.443,729,Flip-Flops
Jasmin Bayley,1,United States,LEXINGTON,97737,shopify_payments,$693,69.313,762.443,951,Running Shoes
Nessy Burrells,1,United States,COLUMBUS,97713,shopify_payments,$589,58.913,648.043,475,Gift Card
Haslett Klimushev,1,United States,CHARLOTTE,97701,shopify_payments,$517,51.713,568.843,5294,Walking Shoes
Jodi Boutellier,1,United States,TULSA,97690,paypal,$537,53.713,590.843,2785,Running Shoes
Felipe Inett,1,United States,ELMIRA,97666,paypal,$494,49.353,542.883,5094,Running Shoes
Gusty Menhenitt,1,United States,SALT LAKE CITY,97665,paypal,$613,61.313,674.443,2694,Tennis Shoes
Pryce Lethbury,1,United States,UTICA,97663,shopify_payments,$517,51.713,568.843,7199,Running Shoes
Birk Forson,1,United States,DALLAS,97655,shopify_payments,$537,53.713,590.843,2324,Running Shoes
Audrye Humbell,1,United States,BIRMINGHAM,97654,shopify_payments,$505,50.513,555.643,6617,Boots
Silvie Pepler,1,United States,DES MOINES,97602,paypal,$625,62.513,687.643,7235,Tennis Shoes
Beatrix Bartolic,1,United States,AUSTIN,97587,paypal,$497,49.713,546.843,3225,Running Shoes
Vaughn Selkirk,1,United States,SHREVEPORT,97570,shopify_payments,$634,63.433,697.763,5133,Climbing Shoes
Jonah Szymanek,1,United States,ORLANDO,97569,shopify_payments,$517,51.713,568.843,137,Walking Shoes
Desmund Hyndman,1,United States,OKLAHOMA CITY,97559,paypal,$615,61.513,676.643,5144,Flip-Flops
Veriee Corkett,1,United States,CHARLESTON,97549,shopify_payments,$635,63.513,698.643,3343,Climbing Shoes
Patti Arnall,1,United States,SAVANNAH,97538,paypal,$596,59.593,655.523,5707,Tennis Shoes
Harbert Courtier,1,United States,JEFFERSON CITY,97535,paypal,$733,73.313,806.443,6592,Walking Shoes
Winni Heighton,1,United States,SAN ANTONIO,97527,shopify_payments,$745,74.473,819.203,5282,Tennis Shoes
Liv Matuszak,1,United States,NEW ORLEANS,97525,gift_card,$605,60.513,665.643,5256,Running Shoes
Hardy Tennet,1,United States,TUCSON,97515,amazon_payments,$600,59.963,659.593,5901,Climbing Shoes
Rebecka Pagitt,1,United States,ATLANTA,97515,shopify_payments,$497,49.713,546.843,2330,Cycling Shoes
Gabriell Hambribe,1,United States,EDMOND,97514,amazon_payments,$497,49.713,546.843,3381,Walking Shoes
Clotilda Godridge,1,United States,IRVINE,97494,shopify_payments,$572,57.193,629.123,4940,Running Shoes
Nicolai Isenor,1,United States,SIOUX FALLS,97489,gift_card,$575,57.513,632.643,2342,Running Shoes
Becka Stanlike,1,United States,MIAMI,97446,amazon_payments,$595,59.513,654.643,4104,Walking Shoes
Billy Powderham,1,United States,DAYTON,97444,shopify_payments,$497,49.713,546.843,2040,Walking Shoes
Kermit Nast,1,United States,ALEXANDRIA,97440,shopify_payments,$555,55.513,610.643,1039,Running Shoes
Jennie Petters,1,United States,WILKES BARRE,97433,shopify_payments,$494,49.353,542.883,13,Walking Shoes
Devy Vipan,1,United States,GREAT NECK,97424,shopify_payments,$517,51.713,568.843,3691,Running Shoes
Ethyl Dalloway,1,United States,WASHINGTON,97418,shopify_payments,$555,55.513,610.643,6853,Walking Shoes
Ronda Turnbull,1,United States,TALLAHASSEE,97415,gift_card,$508,50.773,558.503,3393,Cycling Shoes
Tait Eburah,1,United States,WALTHAM,97406,paypal,$510,50.953,560.483,6302,Running Shoes
Jase Goudge,1,United States,WASHINGTON,97374,paypal,$502,50.153,551.683,2175,Tennis Shoes
Maddie Sarton,1,United States,SALT LAKE CITY,97361,paypal,$595,59.513,654.643,2198,Boots
Frankie Marham,1,United States,MADISON,97353,shopify_payments,$494,49.353,542.883,6610,Running Shoes
Darbie MacDonnell,1,United States,SHREVEPORT,97346,gift_card,$711,71.113,782.243,1985,Tennis Shoes
Caril Heine,1,United States,ORLANDO,97329,gift_card,$502,50.153,551.683,6817,Running Shoes
Curcio Drinnan,1,United States,INDIANAPOLIS,97320,shopify_payments,$488,48.813,536.943,4004,Climbing Shoes
Mose Sarra,1,United States,PHOENIX,97307,gift_card,$518,51.753,569.283,5682,Cycling Shoes
Michele Lemarie,1,United States,ATLANTA,97304,gift_card,$625,62.513,687.643,4797,Boots
Zora Blagdon,1,United States,SAINT PETERSBURG,97292,shopify_payments,$489,48.913,538.043,3468,Gift Card
Emelen Vitet,1,United States,DALLAS,97280,shopify_payments,$517,51.713,568.843,5260,Running Shoes
Freida Hatley,1,United States,LOS ANGELES,97274,paypal,$635,63.513,698.643,2145,Tennis Shoes
Lemmie Georgeou,1,United States,DENVER,97263,paypal,$537,53.713,590.843,3780,Tennis Shoes
Ulysses Drawmer,1,United States,TOPEKA,97257,gift_card,$497,49.713,546.843,3187,Cycling Shoes
Waylen Horsfield,1,United States,COLUMBIA,97223,gift_card,$575,57.513,632.643,5521,Walking Shoes
Lazar Garling,1,United States,DALLAS,97176,amazon_payments,$517,51.713,568.843,4997,Flip-Flops
Julietta Gresch,1,United States,PENSACOLA,97165,shopify_payments,$517,51.713,568.843,663,Running Shoes
Pamela Buckner,1,United States,EL PASO,97162,paypal,$518,51.753,569.283,4865,Tennis Shoes
Ellette Kingsland,1,United States,CHICAGO,97145,gift_card,$537,53.713,590.843,320,Walking Shoes
Carleen Depke,1,United States,ARLINGTON,97144,shopify_payments,$502,50.153,551.683,5404,Climbing Shoes
Thedric Eddington,1,United States,BEAUMONT,97142,shopify_payments,$527,52.713,579.843,39,Cycling Shoes
Terrence Andrzej,1,United States,AUSTIN,97140,gift_card,$572,57.193,629.123,6872,Running Shoes
Sayre Rodd,1,United States,NEWPORT BEACH,97139,shopify_payments,$518,51.753,569.283,2665,Tennis Shoes
Yule Jacobsz,1,United States,MIAMI,97092,shopify_payments,$589,58.873,647.603,3819,Walking Shoes
Alejoa Vanderplas,1,United States,JERSEY CITY,97080,paypal,$823,82.313,905.443,7011,Tennis Shoes
Arabella Franscioni,1,United States,PENSACOLA,97061,shopify_payments,$625,62.513,687.643,2998,Walking Shoes
Vilma Poulett,1,United States,WEST PALM BEACH,97041,shopify_payments,$657,65.673,722.403,3172,Walking Shoes
Wainwright Dubarry,1,United States,HUNTINGTON,97028,shopify_payments,$510,50.953,560.483,6127,Running Shoes
Helga Dunphie,1,United States,ERIE,96998,gift_card,$518,51.753,569.283,4058,Running Shoes
Morgan Dring,1,United States,SPRINGFIELD,96978,gift_card,$729,72.873,801.603,3477,Running Shoes
Tallulah McCafferky,1,United States,HOUSTON,96949,shopify_payments,$497,49.713,546.843,6990,Cycling Shoes
Lanny Degli Abbati,1,United States,NEW ORLEANS,96939,paypal,$497,49.713,546.843,5109,Tennis Shoes
Cecilio Trunkfield,1,United States,ALBANY,96928,paypal,$595,59.513,654.643,6229,Walking Shoes
Russell Masurel,1,United States,SEATTLE,96928,shopify_payments,$596,59.593,655.523,4139,Tennis Shoes
Gates Piddle,1,United States,SPRINGFIELD,96876,shopify_payments,$497,49.713,546.843,1213,Cycling Shoes
Whitby Davison,1,United States,BOSTON,96876,gift_card,$510,50.953,560.483,1892,Tennis Shoes
Marcelo Petto,1,United States,WASHINGTON,96836,shopify_payments,$723,72.313,795.443,2376,Running Shoes
Cyril Westnedge,1,United States,AUGUSTA,96832,gift_card,$650,65.033,715.363,671,Cycling Shoes
Neron Morgans,1,United States,MIAMI,96825,paypal,$537,53.713,590.843,2497,Tennis Shoes
Devora Buntine,1,United States,VALDOSTA,96816,shopify_payments,$537,53.713,590.843,6489,Running Shoes
Berget Quakley,1,United States,WASHINGTON,96808,amazon_payments,$537,53.713,590.843,3294,Running Shoes
Ramonda Dominique,1,United States,VANCOUVER,96797,shopify_payments,$596,59.593,655.523,445,Running Shoes
Radcliffe Bullent,1,United States,COLUMBUS,96761,shopify_payments,$518,51.753,569.283,89,Running Shoes
Reggis Matysik,1,United States,INDIANAPOLIS,96752,gift_card,$518,51.753,569.283,7259,Cycling Shoes
Olav Enders,1,United States,ABILENE,96733,gift_card,$537,53.713,590.843,6412,Running Shoes
Daniella Dewett,1,United States,BATTLE CREEK,96709,amazon_payments,$588,58.793,646.723,3586,Running Shoes
Carmine Comfort,1,United States,BIRMINGHAM,96690,shopify_payments,$486,48.553,534.083,364,Cycling Shoes
Mirabelle Shiell,1,United States,RENO,96680,shopify_payments,$575,57.513,632.643,2871,Tennis Shoes
Alanna Brownlea,1,United States,BATON ROUGE,96642,shopify_payments,$497,49.713,546.843,5576,Running Shoes
Silvie Tompkin,1,United States,PEORIA,96620,shopify_payments,$555,55.513,610.643,7300,Tennis Shoes
Florinda Chaldecott,1,United States,EL PASO,96618,shopify_payments,$705,70.473,775.203,5624,Sandals
Eduino Molloy,1,United States,SPRINGFIELD,96590,paypal,$507,50.713,557.843,2059,Tennis Shoes
Janetta Lippini,1,United States,RICHMOND,96578,paypal,$555,55.513,610.643,6408,Tennis Shoes
Ronnie Groveham,1,United States,DENVER,96578,paypal,$502,50.153,551.683,4234,Walking Shoes
Fayre Mays,1,United States,PORTLAND,96562,shopify_payments,$682,68.213,750.343,5132,Cycling Shoes
Caye Wooton,1,United States,LYNCHBURG,96555,shopify_payments,$693,69.313,762.443,1780,Running Shoes
Fredia Goldberg,1,United States,POMPANO BEACH,96546,shopify_payments,$527,52.713,579.843,971,Walking Shoes
Sumner Jehaes,1,United States,WASHINGTON,96528,amazon_payments,$671,67.113,738.243,2857,Sandals
Truman Ruffler,1,United States,MELBOURNE,96524,shopify_payments,$537,53.713,590.843,2519,Cycling Shoes
Kellen Cella,1,United States,DALLAS,96479,gift_card,$478,47.833,526.163,3762,Running Shoes
Ludovika Mackiewicz,1,United States,KANSAS CITY,96466,paypal,$527,52.713,579.843,1705,Tennis Shoes
Elizabeth Cowndley,1,United States,ORLANDO,96455,shopify_payments,$580,57.993,637.923,7166,Running Shoes
Klarrisa MacLennan,1,United States,KALAMAZOO,96447,gift_card,$529,52.913,582.043,3059,Accessories
Tessi Yukhin,1,United States,CHARLOTTE,96442,shopify_payments,$572,57.193,629.123,6636,Running Shoes
Basia Safell,1,United States,SAINT LOUIS,96438,shopify_payments,$625,62.513,687.643,4913,Cycling Shoes
Pam Fremantle,1,United States,ARLINGTON,96411,paypal,$515,51.513,566.643,4229,Cycling Shoes
